"","STATE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"25","Missouri",5116901,5128880,5170800,5217101,5271175,5324497,5378247,5431553,5481193,5521765,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5995974,6010275,6024367,6040715,6056202,6071732,6087135,6106670,6121623,6137428
"26","Montana",799065,800204,809680,825770,844761,861306,876553,886254,889865,892431,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,990697,997316,1003783,1013569,1021869,1030475,1040859,1052482,1060665,1068778
"27","Nebraska",1578417,1581660,1595919,1611687,1625590,1639041,1656992,1673740,1686418,1695816,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1829542,1840672,1853303,1865279,1879321,1891277,1905616,1915947,1925614,1934408
"28","Nevada",1201675,1220695,1296171,1351367,1411215,1499298,1581578,1666320,1764104,1853191,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2702405,2712730,2743996,2775970,2817628,2866939,2917563,2969905,3027341,3080156
"29","New Hampshire",1109252,1112384,1109929,1117784,1129458,1142560,1157561,1174719,1189425,1205940,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316762,1320202,1324232,1326622,1333341,1336350,1342307,1348787,1353465,1359711
"30","New Jersey",7747750,7762963,7814676,7880508,7948915,8014306,8083242,8149596,8218808,8287418,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8799446,8828117,8844942,8856972,8864525,8867949,8870827,8885525,8886025,8882190
"31","New Mexico",1515069,1521574,1555305,1595442,1636453,1682398,1720394,1752326,1774839,1793484,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2064552,2080450,2087309,2092273,2089568,2089291,2091630,2091784,2092741,2096829
"32","New York",17990778,18020784,18122510,18246653,18374954,18459470,18524104,18588460,18656546,18755906,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19399878,19499241,19572932,19624447,19651049,19654666,19633428,19589572,19530351,19453561
"33","North Carolina",6632448,6664016,6784280,6897214,7042818,7187398,7344674,7500670,7656825,7809121,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9574323,9657592,9749476,9843336,9932887,10031646,10154788,10268233,10381615,10488084
"34","North Dakota",638800,637685,635753,638223,641216,644804,647832,650382,649716,647532,642023,639062,638168,638817,644705,646089,649422,652822,657569,664968,674715,685225,701176,722036,737401,754066,754434,754942,758080,762062
"35","Ohio",10847115,10864162,10945762,11029431,11101140,11152454,11202751,11242827,11277357,11311536,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11539336,11544663,11548923,11576684,11602700,11617527,11634370,11659650,11676341,11689100
"36","Oklahoma",3145576,3148825,3175440,3220517,3252285,3280940,3308208,3340129,3372917,3405194,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3759944,3788379,3818814,3853214,3878187,3909500,3926331,3931316,3940235,3956971
